col	n_null	n_blank	n_nan	n	min	max	avg
orca_txn_dt_diff	0	0	0	6363366	-1.0	2.0	-0.0050
apc_txn_dt_diff	0	0	0	6363366	-1.0	0.0	-0.0000
stop_seq	0	0	0	6363366	0.0	98.0	12.9775
door_open_sec	0	601	0	6362765	0.0	1914.0	25.5470
dwell_sec	0	179	0	6363187	0.0	1993.0	37.0585
ons	0	67	0	6363299	0.0	145.0	6.8331
offs	0	67	0	6363299	0.0	132.0	1.5847
load	0	0	0	6363366	0.0	136.0	21.5787
orca_total	0	0	0	6363366	1.0	50.0	1.0039
orca_adult	0	0	0	6363366	0.0	50.0	0.7816
orca_disabled	0	0	0	6363366	0.0	2.0	0.0514
orca_senior	0	0	0	6363366	0.0	4.0	0.0427
orca_youth	0	0	0	6363366	0.0	32.0	0.0665
orca_lowincome	0	0	0	6363366	0.0	2.0	0.0618
orca_uw	0	0	0	6363366	0.0	3.0	0.1320
