rte,type,start,end,region
22,Conventional,Alaska Junction,Arbor Heights,Seattle
301,Conventional,Downtown Seattle,Aurora Village Transit Center,North King County
346,Conventional,Northgate Transit Center,Aurora Village Transit Center,North King County
373,Conventional,University District,Aurora Village Transit Center,North King County
248,Conventional,Kirkland Transit Center,Avondale,East King County
216,Conventional,Downtown Seattle,Bear Creek P&R,East King County
545,Conventional,Downtown Seattle,Bear Creek P&R,Express
226,Conventional,Eastgate P&R,Bellevue,East King County
232,Conventional,Duvall,Bellevue,East King County
234,Conventional,Kenmore,Bellevue,East King County
235,Conventional,Kingsgate,Bellevue,East King County
555,Conventional,Northgate Transit Center,Bellevue,Express
672,Conventional,Redmond,Bellevue,Express
550,Conventional,Downtown Seattle,Bellevue,Express
143,Conventional,Downtown Seattle,Black Diamond,South King County
312,Conventional,Downtown Seattle,Bothell,North King County
372,Conventional,University District,Bothell,North King County
120,Conventional,Downtown Seattle,Burien Transit Center,South King County
131,Conventional,Downtown Seattle,Burien Transit Center,South King County
132,Conventional,Downtown Seattle,Burien Transit Center,South King County
10,Trolley,Downtown Seattle,Capitol Hill,Seattle
63,Conventional,Northgate Transit Center,Cherry Hill,Seattle
64,Conventional,Jackson Park,Cherry Hill,Seattle
31,Conventional,Central Magnolia,Children's Hospital,Seattle
32,Conventional,Seattle Center,Children's Hospital,Seattle
67,Conventional,Northgate Transit Center,Children's Hospital,Seattle
246,Conventional,Eastgate P&R,Clyde Hill,East King County
27,Conventional,Downtown Seattle,Colman Park,Seattle
119,Conventional,Vashon Island Ferry Terminal,Dockton,South King County
1,Trolley,Kinnear,Downtown Seattle,Seattle
5,Conventional,Shoreline,Downtown Seattle,Seattle
13,Trolley,Seattle Pacific University,Downtown Seattle,Seattle
15,Conventional,Blue Ridge,Downtown Seattle,Seattle
17,Conventional,Sunset Hill,Downtown Seattle,Seattle
18,Conventional,North Beach,Downtown Seattle,Seattle
19,Conventional,West Magnolia,Downtown Seattle,Seattle
24,Conventional,West Magnolia,Downtown Seattle,Seattle
26,Conventional,Northgate Transit Center,Downtown Seattle,Seattle
28,Conventional,Carkeek Park,Downtown Seattle,Seattle
29,Conventional,Ballard,Downtown Seattle,Seattle
33,Conventional,East Magnolia,Downtown Seattle,Seattle
37,Conventional,West Seattle,Downtown Seattle,Seattle
40,Conventional,Northgate Transit Center,Downtown Seattle,Seattle
41,Conventional,Lake City,Downtown Seattle,Seattle
49,Trolley,University District,Downtown Seattle,Seattle
55,Conventional,Admiral District,Downtown Seattle,Seattle
56,Conventional,Alki Point,Downtown Seattle,Seattle
57,Conventional,Alaska Junction,Downtown Seattle,Seattle
70,Trolley,University District,Downtown Seattle,Seattle
76,Conventional,Wedgwood,Downtown Seattle,Seattle
77,Conventional,North City,Downtown Seattle,Seattle
157,Conventional,Lake Meridian P&R,Downtown Seattle,South King County
218,Conventional,Issaquah,Downtown Seattle,East King County
255,Conventional,Brickyard P&R,Downtown Seattle,East King County
674,Conventional,Crown Hill,Downtown Seattle,Express
675,Conventional,Aurora Village Transit Center,Downtown Seattle,Express
212,Conventional,Downtown Seattle,Eastgate P&R,East King County
241,Conventional,Bellevue,Eastgate P&R,East King County
221,Conventional,Eastgate P&R,Education Hill,East King County
186,Conventional,Auburn Station,Enumclaw,South King County
