rte	dir	description
994	N	Inbd
989	E	Inbd
989	W	Outbd
988	N	Inbd
982	W	Inbd
952	N	Inbd
952	S	Outbd
895	S	Outbd
894	N	Inbd
891	N	Inbd
888	N	Inbd
886	N	Inbd
824	S	Inbd
823	N	Outbd
676	W	Inbd
676	E	Outbd
676	E	
676	W	
675	S	Inbd
675	S	
675	N	
675	N	Outbd
672	E	
672	W	
672	E	Outbd
671	S	
671	S	Outbd
671	N	Inbd
671	N	
661	S	Outbd
556	E	Inbd
556	W	Outbd
556	E	
555	W	Outbd
555	E	Inbd
554	E	
554	W	Inbd
554	E	Outbd
554	W	
545	E	Outbd
545	W	
545	W	Inbd
545	E	
542	E	Outbd
542	W	Inbd
542	E	
542	W	
541	E	
541	W	Inbd
541	E	Outbd
540	E	Outbd
540	E	
540	W	Inbd
540	W	
522	N	Outbd
522	N	
522	S	Inbd
674	S	
674	S	Inbd
674	N	
674	N	Outbd
673	S	Outbd
673	S	
673	N	
673	N	Inbd
672	W	Inbd
672	E	Inbd
522	S	
373	S	Inbd
373	S	
303	S	Inbd
303	N	Outbd
301	S	Inbd
271	W	
301	N	Outbd
271	W	Inbd
271	E	Outbd
271	E	
269	S	
269	N	Outbd
269	N	
269	S	Inbd
268	W	Inbd
268	E	Outbd
257	W	Inbd
255	E	
255	W	Inbd
255	E	Outbd
550	E	
550	W	
550	E	Outbd
550	W	Inbd
255	W	
245	S	
245	N	
245	S	Inbd
245	N	Outbd
244	N	Outbd
244	S	Inbd
241	S	Inbd
241	N	Outbd
241	N	
241	S	
240	S	
240	S	Inbd
240	N	
240	N	Outbd
238	S	Inbd
238	N	Outbd
238	N	
372	S	Inbd
372	N	
372	S	
355	S	Inbd
355	N	Outbd
348	S	Inbd
348	S	
348	N	Outbd
348	N	
347	S	Inbd
347	S	
347	N	Outbd
347	N	
346	S	Inbd
346	N	
346	S	
345	S	Inbd
345	S	
345	N	
345	N	Outbd
342	N	Outbd
331	W	Inbd
331	E	Outbd
331	W	
316	S	Inbd
316	N	Outbd
312	N	
312	S	
312	S	Inbd
312	N	Outbd
311	E	Outbd
311	W	Inbd
311	E	
309	N	Outbd
308	S	Inbd
304	S	Inbd
303	N	
236	S	Inbd
236	N	Outbd
232	W	
232	E	Outbd
232	E	
226	E	Inbd
226	W	Outbd
226	E	
226	W	
224	E	Outbd
224	E	
224	W	
221	S	Outbd
221	S	
221	N	Inbd
221	N	
219	W	Inbd
219	E	Outbd
218	E	
218	E	Outbd
218	W	Inbd
217	W	Outbd
216	W	Inbd
216	E	Outbd
