col	val
txn_type_id	3
txn_subtype_id	84
txn_subtype_id	85
txn_subtype_id	86
txn_subtype_id	88
txn_subtype_id	89
txn_type_descr	Product Multiride Use Journey
txn_type_descr	Product Pass Use Journey
txn_type_descr	Product Pass Use on Entry
txn_type_descr	Product Purse Use Journey
txn_type_descr	Product Purse Use on Entry
upgrade_indicator	N
upgrade_indicator	Y
product_descr	All-Day PugetPass $1.75
product_descr	All-Day PugetPass $3.50
product_descr	Community Transit Business Passport
product_descr	Everett Transit Business Passport
product_descr	Everett Transit Monthly Reduced Fare Pass
product_descr	KCM 10 Ride $1.50
product_descr	King County Metro Business Passport
product_descr	Kitsap Transit Bus/Ferry Full Fare Pass
product_descr	Kitsap Transit Bus/Ferry Reduced Fare Pass
product_descr	Kitsap Transit Fast Ferry Full Fare Pass
product_descr	Kitsap Transit Fast Ferry Reduced Fare Pass
product_descr	Kitsap Transit Full Fare Pass
product_descr	Kitsap Transit Reduced Fare Pass
product_descr	Kitsap Transit Worker/Driver Full Fare Pass
product_descr	Metro All-Day Pass
product_descr	Metro Monthly Access Pass
product_descr	Metro Monthly Adult Pass Offpeak
product_descr	PT Adult All-Day Pass
product_descr	PT Youth/Senior/Disabled All-Day Pass
product_descr	Pierce Transit Adult Monthly Pass
product_descr	Pierce Transit Business Passport
product_descr	Pierce Transit Reduced Fare Monthly Pass
product_descr	PugetPass $0.50
product_descr	PugetPass $0.75
product_descr	PugetPass $1.00
product_descr	PugetPass $1.25
product_descr	PugetPass $1.50
product_descr	PugetPass $1.75
product_descr	PugetPass $10.00
product_descr	PugetPass $2.00
product_descr	PugetPass $2.25
product_descr	PugetPass $2.50
product_descr	PugetPass $2.75
product_descr	PugetPass $3.00
product_descr	PugetPass $3.25
product_descr	PugetPass $3.50
product_descr	PugetPass $3.75
product_descr	PugetPass $4.00
product_descr	PugetPass $4.25
product_descr	PugetPass $4.50
product_descr	PugetPass $4.75
product_descr	PugetPass $5.00
product_descr	PugetPass $5.25
product_descr	PugetPass $5.50
product_descr	PugetPass $5.75
product_descr	Purse
product_descr	Regional Bus and Train Passport
product_descr	Sound Transit Business Passport
product_descr	WSF Central Sound Monthly Pass
product_descr	WSF Central Sound Passenger 10-Ride
product_descr	WSF Fauntleroy-Southworth Monthly Pass
product_descr	WSF Fauntleroy-Southworth Passenger 10-Ride
product_descr	WSF Mukilteo-Clinton Monthly Pass
product_descr	WSF Mukilteo-Clinton Passenger 10-Ride
product_descr	WSF Port Townsend-Coupeville Passenger 20-Ride
