stop_id	stop_name
81294	1ST AVE NE & NE 140TH ST (81294)
390	2ND AVE EXT S & S JACKSON ST (390)
64790	FACTORIA BLVD SE & COAL CREEK PKWY SE (64790)
16330	MERIDIAN AVE N & N 150TH ST (16330)
12770	23RD AVE & E CHERRY ST (12770)
8070	RAINIER AVE S & 52ND AVE S (8070)
75253	BOEING ACCESS RD & GATE E-77 (75253)
57892	AUBURN PARK AND RIDE BAY #1 (57892)
79952	I-405 & N 30TH ST (79952)
71260	NE 24TH ST & 173RD AVE NE (71260)
70694	NE 80TH ST & 120TH AVE NE (70694)
63931	92ND AVE SE & SE 42ND ST (63931)
70039	128TH AVE SE & SE 7TH PL (70039)
74155	INTERNATIONAL SCHOOL & 128TH AVE SE (74155)
64056	SE 63RD ST & 155TH AVE SE (64056)
52304	BURIEN TRANSIT CENTER BAY #4 (52304)
46505	N 10TH ST & PARK AVE N (46505)
510	S WASHINGTON ST & 3RD AVE S (510)
16103	AURORA VILLAGE TRANSIT CENTER BAY #3 (16103)
68003	BELLEVUE TRANSIT CENTER BAY #3 (68003)
73227	REDMOND TRANSIT CENTER BAY #1 (73227)
80431	FEDERAL WAY TC BAY #1 (80431)
60921	TUKWILA INTERNATIONAL BLVD STATION BAY #1 (60921)
60922	TUKWILA INTERNATIONAL BLVD STATION BAY #2 (60922)
93005	S MASSACHUSETTS ST & CENTRAL BASE ACS (93005)
93006	NORTH BASE (93006)
64566	ISSAQUAH HIGHLANDS PARK & RIDE BAY #3 (64566)
35322	NORTHGATE TRANSIT CENTER BAY #1 (35322)
85640	NE 4TH ST & 108TH AVE NE (85640)
67655	BELLEVUE TRANSIT CENTER BAY #8 (67655)
18440	BLANCHARD ST & 6TH AVE (18440)
67636	110TH AVE NE & NE 10TH ST (67636)
1075	9TH AVE & PINE ST (1075)
81755	BEAR CREEK PARK AND RIDE (81755)
21850	AIRPORT WAY S & S ROYAL BROUGHAM WAY (21850)
71355	SR 520 & EVERGREEN POINT RD (71355)
9586	NE 50TH ST & UNIVERSITY WAY NE (9586)
36960	NE 65TH ST & OSWEGO PL NE (36960)
71328	OVERLAKE PARK & RIDE (71328)
73814	KIRKLAND TRANSIT CENTER BAY #2 (73814)
11352	15TH AVE NE & NE 42ND ST (11352)
75405	GRANT LN & STEVENS WAY (75405)
75992	WOODINVILLE PARK AND RIDE (75992)
76305	CAMPUS WAY NE (76305)
99271	SODO BUSWAY & S ROYAL BROUGHAM WAY (99271)
1710	TERRACE ST & 5TH AVE (1710)
28680	NW 100TH PL & 7TH AVE NW (28680)
22557	SW BARTON ST & 26TH AVE SW BAY #1 (22557)
10325	FAIRVIEW AVE N & VALLEY ST (10325)
26645	WESTLAKE AVE N & HARRISON ST (26645)
71326	152ND AVE NE & OVERLAKE PARK&RIDE (71326)
73110	148TH AVE NE & NE REDMOND WAY (73110)
9999	long name NA (9999)
25240	MONTLAKE BLVD NE & NE PACIFIC PL BAY #4 (25240)
12980	E JEFFERSON ST & 17TH AVE (12980)
75730	AURORA AVE N & N 192ND ST (75730)
16101	AURORA VILLAGE TRANSIT CENTER BAY #1 (16101)
75401	STEVENS WAY & MEMORIAL WAY (75401)
74670	NE 116TH ST & 101ST PL NE (74670)
67015	EASTGATE PARK & RIDE & 140TH AVE SE BAY #2 (67015)
67015	EASTGATE PARK & RIDE BAY #2 (67015)
64579	ISSAQUAH TRANSIT CENTER BAY #1 (64579)
64650	SE NEWPORT WAY & 156TH AVE SE (64650)
64620	SE NEWPORT WAY & 165TH PL SE (64620)
64598	WEST LAKE SAMMAMISH PKWY SE & 184TH AVE SE (64598)
65092	NEWPORT WAY SW & W SUNSET WAY (65092)
64670	SE NEWPORT WAY & 151ST AVE SE (64670)
67610	NE 8TH ST & 108TH AVE NE (67610)
64592	ISSAQUAH TRANSIT CENTER BAY #5 (64592)
81737	ISSAQUAH PINE LAKE RD SE & SE 40TH PL (81737)
843	5TH AVE S & S JACKSON ST (843)
72329	NE REDMOND WAY & 185TH AVE NE (72329)
72324	NE 65TH ST & 185TH AVE NE (72324)
71359	CLYDE HILL/YARROW PT & SR-520 - 92ND AVENUE (71359)
71348	SR 520 & EVERGREEN POINT RD (71348)
71350	SR 520 RAMP & MONTLAKE BLVD E (71350)
74230	TOTEM LAKE TRANSIT CENTER BAY #3 (74230)
623	INTL DISTR STN & S JACKSON ST - 5TH AVENUE S BAY #C (623)
82700	I-405 & JUANITA WOODINVILLE WAY NE (82700)
74077	NE 124TH ST & 103RD AVE NE (74077)
70151	NE 124TH ST & 100TH AVE NE (70151)
70184	98TH AVE NE & NE 119TH WAY (70184)
73818	KIRKLAND TRANSIT CENTER BAY #4 (73818)
68360	156TH AVE NE & NORTHUP WAY (68360)
68700	156TH AVE NE & MAIN ST (68700)
76376	KENMORE PARK & RIDE & 73RD AVE NE (76376)
68398	156TH AVE NE & OVERLAKE TRANSIT CENTER BAY #7 (68398)
68001	BELLEVUE TRANSIT CENTER BAY #11 (68001)
67014	EASTGATE PARK & RIDE & 140TH AVE SE BAY #1 (67014)
46478	RENTON TRANSIT CENTER BAY #3 (46478)
85630	BELLEVUE TRANSIT CENTER BAY #1 (85630)
84250	112TH AVE SE & SE 8TH ST (84250)
82760	112TH AVE SE & SE 4TH ST (82760)
73812	KIRKLAND TRANSIT CENTER BAY #1 (73812)
70120	JUANITA WOODINVILLE WAY NE & NE 136TH PL (70120)
70110	JUANITA WOODINVILLE WAY NE & NE 137TH PL (70110)
76044	E RIVERSIDE DR & EASON AVE (76044)
76030	E RIVERSIDE DR & E RIVERSIDE PL (76030)
9144	NE CAMPUS PKWY & UNIVERSITY WAY NE (9144)
70608	NE 8TH ST & 102ND AVE NE (70608)
76374	KENMORE PARK & RIDE & NE BOTHELL WAY (76374)
1040	OLIVE WAY & 6TH AVE (1040)
5492	SHORELINE COMMUNITY COLLEGE (5492)
35326	NORTHGATE TRANSIT CENTER BAY #3 (35326)
81316	5TH AVE NE & NE 180TH ST (81316)
75670	NW 196TH ST & 26TH AVE NW (75670)
39270	15TH AVE NE & NE 130TH ST (39270)
75570	NW RICHMOND BEACH RD & 12TH AVE NW (75570)
85222	MOUNTLAKE TERRACE PARK & RIDE BAY #1 (85222)
35293	NORTHGATE TRANSIT CENTER BAY #4 (35293)
16104	AURORA VILLAGE TRANSIT CENTER BAY #4 (16104)
5493	SHORELINE COMMUNITY COLLEGE (5493)
16990	COLLEGE WAY N & N 103RD ST (16990)
46477	RENTON TRANSIT CENTER BAY #2 (46477)
85800	N 205TH ST & 1ST AVE NE (85800)
82334	NE 190TH ST & BALLINGER WAY NE (82334)
74970	3RD AVE NW & NW 198TH ST (74970)
82320	BALLINGER WAY NE & 37TH AVE NE (82320)
16770	N 200TH ST & BURKE AVE N (16770)
9670	NE 125TH ST & LAKE CITY WAY NE (9670)
75756	N 175TH ST & MERIDIAN AVE N (75756)
16570	MERIDIAN AVE N & N 145TH ST (16570)
76810	BOTHELL WAY NE & NE 165TH ST (76810)
76002	131ST AVE NE & NE 175TH ST (76002)
3600	S JACKSON ST & 12TH AVE S (3600)
81330	HORIZON VIEW & 45TH AVE NE (81330)
880	VIRGINIA ST & 6TH AVE (880)
74785	RICHMOND BEACH DR NW & NW 196TH PL (74785)
76021	E RIVERSIDE DR & 102ND AVE NE (76021)
69021	BELLEVUE TRANSIT CENTER BAY #10 (69021)
81436	NE 144TH ST & 123RD AVE NE (81436)
70313	BRICKYARD RD NE & WOODCREST DR NE (70313)
67654	BELLEVUE TRANSIT CENTER BAY #7 (67654)
68803	BROWN AVE NE & NE RICHARDSON ST (68803)
71960	REDMOND TRANSIT CENTER BAY #5 (71960)
71985	NE OLD REDMOND RD & NE 70TH ST (71985)
66830	164TH AVE SE & SE 2ND ST (66830)
66810	164TH AVE NE & NE 2ND ST (66810)
1050	OLIVE WAY & 8TH AVE (1050)
