col	n_null	n_blank	n_nan	n	min	max	avg
sch_st_min	0	16529470	0	4006478	0.0	1740.0	857.4706
pattern_quality	0	0	0	20535948	1.0	100.0	98.4144
pattern_quality_1	0	0	0	20535948	1.0	100.0	98.4144
sch_stop_sec	0	16529470	0	4006478	0.0	104400.0	51447.4633
act_stop_arr	0	0	0	20535948	459.0	117047.0	51793.6718
dwell_sec	0	0	0	20535948	0.0	28971.0	11.9318
doors_open	0	0	20535948	0	None	None	NA
door_open_sec	0	0	0	20535948	-17922.0	9743.0	6.9405
ons	0	7118449	0	13417499	0.0	484.0	0.9744
offs	0	7118449	0	13417499	0.0	466.0	0.9744
load	0	7118449	0	13417499	-5.0	136.0	10.3747
gps_lat	0	391549	0	20144399	70825.26627025002	345368.58221161197	220778.4695
gps_long	0	391549	0	20144399	1225182.8711573929	1405241.4573345536	1281446.1159
