col	val
rte	1
rte	10
rte	101
rte	102
rte	105
rte	106
rte	107
rte	11
rte	111
rte	113
rte	114
rte	116
rte	118
rte	119
rte	12
rte	120
rte	121
rte	122
rte	123
rte	124
rte	125
rte	128
rte	13
rte	131
rte	132
rte	14
rte	143
rte	148
rte	15
rte	150
rte	153
rte	154
rte	156
rte	157
rte	158
rte	159
rte	164
rte	166
rte	167
rte	168
rte	169
rte	17
rte	177
rte	178
rte	179
rte	18
rte	180
rte	181
rte	182
rte	183
rte	186
rte	187
rte	19
rte	190
rte	192
rte	193
rte	197
rte	2
rte	200
rte	201
rte	204
rte	208
rte	21
rte	212
rte	214
rte	216
rte	217
rte	218
rte	219
rte	22
rte	221
rte	224
rte	226
rte	232
rte	234
rte	235
rte	236
rte	237
rte	238
rte	24
rte	240
rte	241
rte	243
rte	244
rte	245
rte	246
rte	248
rte	249
rte	252
rte	255
rte	257
rte	26
rte	268
rte	269
rte	27
rte	271
rte	277
rte	28
rte	29
rte	3
rte	301
rte	303
rte	304
rte	308
rte	309
rte	31
rte	311
rte	312
rte	316
rte	32
rte	33
rte	330
rte	331
rte	342
rte	345
rte	346
rte	347
rte	348
rte	355
rte	36
rte	37
rte	372
rte	373
rte	4
rte	40
rte	41
rte	43
rte	44
rte	45
rte	47
rte	48
rte	49
rte	5
rte	50
rte	522
rte	540
rte	541
rte	542
rte	545
rte	55
rte	550
rte	554
rte	555
rte	556
rte	56
rte	57
rte	60
rte	62
rte	63
rte	64
rte	65
rte	661
rte	67
rte	671
rte	672
rte	673
rte	674
rte	675
rte	676
rte	697
rte	7
rte	70
rte	71
rte	73
rte	74
rte	75
rte	76
rte	77
rte	771
rte	78
rte	797
rte	8
rte	823
rte	824
rte	853
rte	863
rte	880
rte	881
rte	886
rte	887
rte	888
rte	889
rte	891
rte	892
rte	893
rte	894
rte	895
rte	9
rte	90
rte	952
rte	980
rte	981
rte	982
rte	984
rte	986
rte	987
rte	988
rte	989
rte	994
rte	995
dir	E
dir	N
dir	S
dir	W
stop_seq	0
stop_seq	1
stop_seq	10
stop_seq	11
stop_seq	12
stop_seq	13
stop_seq	14
stop_seq	15
stop_seq	16
stop_seq	17
stop_seq	18
stop_seq	19
stop_seq	2
stop_seq	20
stop_seq	21
stop_seq	22
stop_seq	23
stop_seq	24
stop_seq	25
stop_seq	26
stop_seq	27
stop_seq	28
stop_seq	29
stop_seq	3
stop_seq	30
stop_seq	31
stop_seq	32
stop_seq	33
stop_seq	34
stop_seq	35
stop_seq	36
stop_seq	37
stop_seq	38
stop_seq	39
stop_seq	4
stop_seq	40
stop_seq	41
stop_seq	42
stop_seq	43
stop_seq	44
stop_seq	45
stop_seq	46
stop_seq	47
stop_seq	48
stop_seq	49
stop_seq	5
stop_seq	50
stop_seq	51
stop_seq	52
stop_seq	53
stop_seq	54
stop_seq	55
stop_seq	56
stop_seq	57
stop_seq	58
stop_seq	59
stop_seq	6
stop_seq	60
stop_seq	61
stop_seq	62
stop_seq	63
stop_seq	64
stop_seq	65
stop_seq	66
stop_seq	67
stop_seq	68
stop_seq	69
stop_seq	7
stop_seq	70
stop_seq	71
stop_seq	72
stop_seq	73
stop_seq	74
stop_seq	75
stop_seq	76
stop_seq	77
stop_seq	78
stop_seq	79
stop_seq	8
stop_seq	80
stop_seq	81
stop_seq	82
stop_seq	83
stop_seq	84
stop_seq	85
stop_seq	86
stop_seq	87
stop_seq	88
stop_seq	89
stop_seq	9
stop_seq	90
stop_seq	91
stop_seq	92
stop_seq	93
stop_seq	94
stop_seq	95
stop_seq	96
stop_seq	97
stop_seq	98
apc_veh	N
apc_veh	Y
