group	n	mae	mape	batch
RapidRide	4940	19.01878711381579	0.2737591075807511	nn_30min_combined
Express Region	8651	18.80005457912958	0.3416395762872306	nn_30min_combined
high frequency route	11712	12.782031356220116	0.20739157960199373	nn_30min_combined
Evening Peak	10592	10.614938027575528	0.19571678605064102	nn_30min_combined
EW route	12369	9.274442298805885	0.26338854148294505	nn_30min_combined
Summer	30760	8.578384675981795	0.25014424011974706	nn_30min_combined
Morning Peak	12761	8.241439031225609	0.2019532413669383	nn_30min_combined
Weekday	42862	8.232059964342309	0.21808762488757188	nn_30min_combined
Midday	11018	7.959431053258305	0.2063601172871281	nn_30min_combined
Trolley Type	9372	7.934601355265684	0.2134778712940415	nn_30min_combined
Conventional Type	43699	7.75846564211149	0.2310850289132821	nn_30min_combined
NS route	40702	7.338329743065452	0.21719166071014895	nn_30min_combined
med frequency route	30649	6.994828308923945	0.23703683414556723	nn_30min_combined
Winter	22311	6.702037621038053	0.19736916656823547	nn_30min_combined
Non-RapidRide	48131	6.637041940826703	0.22326137795627152	nn_30min_combined
Seattle Region	22191	6.587886427682394	0.19330046494813716	nn_30min_combined
Weekend Evening	8704	6.09042622492647	0.25277242901387464	nn_30min_combined
Weekend	10209	5.931797414491135	0.2696082786949475	nn_30min_combined
Weekend Morning	602	5.883160108936877	0.49119163508952857	nn_30min_combined
Early Morning	1398	5.645975815608011	0.467377585204378	nn_30min_combined
Night	7093	5.590024191607218	0.2506114320672418	nn_30min_combined
South King County Region	10265	5.185899543514855	0.22184659552750272	nn_30min_combined
low frequency route	10710	4.6043538666591965	0.22462905420857116	nn_30min_combined
Weekend Peak	903	4.435202167441861	0.28657400686215617	nn_30min_combined
East King County Region	8909	4.331728421085419	0.2178553469891525	nn_30min_combined
North King County Region	3055	4.171714172765958	0.20712175918576398	nn_30min_combined
Express Region	3657	19.906527316051406	0.36861667022532235	nn_30min_winter
RapidRide	2083	18.213784680940954	0.27128355707701884	nn_30min_winter
high frequency route	5215	11.471685383010547	0.19504241026211902	nn_30min_winter
EW route	5107	9.35751010396123	0.2554113918305213	nn_30min_winter
Evening Peak	4399	9.288909964832918	0.16149387186065126	nn_30min_winter
Morning Peak	5381	8.166176343681471	0.18281689328184755	nn_30min_winter
Weekday	18025	7.658873567583912	0.20014391079483318	nn_30min_winter
Midday	4645	7.520350714254036	0.18876039044002785	nn_30min_winter
Conventional Type	18209	7.405755459160854	0.22052565715561095	nn_30min_winter
Winter	22386	7.2340953316724725	0.21255169955649905	nn_30min_winter
NS route	17279	6.60649655616008	0.19985253147530727	nn_30min_winter
Trolley Type	4177	6.485768958333732	0.17769257410632738	nn_30min_winter
med frequency route	12991	6.480774675807868	0.2195412429184414	nn_30min_winter
Non-RapidRide	20303	6.107626685929173	0.20648843647401688	nn_30min_winter
Early Morning	586	5.7690059443686	0.5500611293804829	nn_30min_winter
Weekend Morning	276	5.543810855072463	0.5777564237832318	nn_30min_winter
Weekend Evening	3701	5.543314941486085	0.2382905130877454	nn_30min_winter
Weekend	4361	5.478390745040128	0.2639161060926124	nn_30min_winter
Seattle Region	9744	5.455351908539614	0.16735498232994797	nn_30min_winter
Night	3014	4.9550164777504975	0.23958031405505117	nn_30min_winter
South King County Region	4008	4.9024844490993	0.22284743838944696	nn_30min_winter
Weekend Peak	384	4.805629283020833	0.2890218711357702	nn_30min_winter
low frequency route	4180	4.288486844258373	0.21278248421237128	nn_30min_winter
North King County Region	1365	3.5087461215091573	0.17127785938912332	nn_30min_winter
East King County Region	3612	3.1973262943964564	0.17990221656839947	nn_30min_winter
Summer	0			nn_30min_winter
Express Region	4970	23.495336486519115	0.4183801592186932	nn_30min_summer
RapidRide	2873	22.254767357292028	0.33439997890733575	nn_30min_summer
high frequency route	6783	15.856238979463363	0.27565983463288274	nn_30min_summer
Evening Peak	6242	13.12999566222685	0.2511233063586194	nn_30min_summer
EW route	7385	12.023304801379824	0.362189273148987	nn_30min_summer
Morning Peak	7620	11.455472628528872	0.29231877316700894	nn_30min_summer
Trolley Type	5503	10.669019016583682	0.28525988488310283	nn_30min_summer
Weekday	25444	10.542011978580412	0.28635668783520957	nn_30min_summer
Summer	31495	9.98224048841467	0.30583506587761794	nn_30min_summer
Conventional Type	25992	9.83683643176208	0.3101893871653486	nn_30min_summer
Midday	6587	9.618093088249584	0.25627692735928687	nn_30min_summer
NS route	24110	9.35705343112526	0.28855830241261016	nn_30min_summer
med frequency route	18036	9.235527886990464	0.31694413439951985	nn_30min_summer
Seattle Region	13014	8.858308778573845	0.264304068192512	nn_30min_summer
Non-RapidRide	28622	8.750356982919431	0.30295843515369497	nn_30min_summer
Weekend Evening	5186	7.8151416360239105	0.3593610785768646	nn_30min_summer
Weekend	6051	7.628443463827466	0.387721779538489	nn_30min_summer
Night	4188	7.138176623741643	0.32174774316625876	nn_30min_summer
Weekend Morning	347	7.1175483971181555	0.6929384448576679	nn_30min_summer
Early Morning	807	7.105025473928128	0.5685267803452773	nn_30min_summer
South King County Region	6347	6.271492798268473	0.2872710560388424	nn_30min_summer
East King County Region	5388	6.188026657906459	0.3218033261545599	nn_30min_summer
Weekend Peak	518	6.101539732432432	0.469047106027019	nn_30min_summer
low frequency route	6676	6.0314281328879575	0.30652219791978075	nn_30min_summer
North King County Region	1776	5.174864288766892	0.3132220096893689	nn_30min_summer
Winter	0			nn_30min_summer
RapidRide	7623	14.05313387478027	0.26815005054570284	nn_15min_combined
Express Region	12355	14.045001663225413	0.32143005864615304	nn_15min_combined
high frequency route	18900	9.065976040363491	0.21773051560274845	nn_15min_combined
Evening Peak	14190	8.248626938221987	0.20825900433361885	nn_15min_combined
EW route	15931	7.061428095895423	0.2499385150649704	nn_15min_combined
Summer	39305	6.941065664099479	0.24710514671163925	nn_15min_combined
Weekday	55933	6.6535716025521605	0.22354621965009222	nn_15min_combined
Morning Peak	16918	6.593123865503605	0.21246050773467706	nn_15min_combined
Midday	14599	6.500403210584286	0.20739784874618553	nn_15min_combined
Conventional Type	53849	6.470693547292987	0.2261024889639045	nn_15min_combined
NS route	51945	6.186433500162864	0.22204517323044018	nn_15min_combined
Trolley Type	14027	6.088937216332074	0.2381934449176958	nn_15min_combined
med frequency route	37238	5.7806847936191526	0.23604575801948027	nn_15min_combined
Winter	28571	5.636180505905989	0.20309450852453845	nn_15min_combined
Non-RapidRide	60253	5.422516051221018	0.22357143833349397	nn_15min_combined
Weekend Evening	10266	5.27606274185564	0.23805851298349576	nn_15min_combined
Weekend	11943	5.165844320197606	0.252281160834625	nn_15min_combined
Seattle Region	30844	5.131585754776943	0.20097595490403897	nn_15min_combined
Weekend Morning	651	5.110799629032258	0.40096824925749885	nn_15min_combined
Early Morning	1608	5.011328879154229	0.480830096023942	nn_15min_combined
Night	8618	4.711781309653051	0.2507215634355718	nn_15min_combined
South King County Region	11335	4.645907623439788	0.2199803059568088	nn_15min_combined
Weekend Peak	1026	4.097941568937622	0.30139504898456915	nn_15min_combined
low frequency route	11738	4.024690036974783	0.2224962111720036	nn_15min_combined
North King County Region	3283	3.7401439654310082	0.2009455044512286	nn_15min_combined
East King County Region	10059	3.6887381491182025	0.21785699836444516	nn_15min_combined
Express Region	5152	15.207582242954192	0.3745030907436469	nn_15min_winter
RapidRide	3213	13.910977357391845	0.27170207921055967	nn_15min_winter
high frequency route	8477	8.42821838842751	0.21019554392377934	nn_15min_winter
Evening Peak	5955	7.965389488161208	0.19243216878880443	nn_15min_winter
EW route	6571	7.387408378785572	0.26712674834179134	nn_15min_winter
Morning Peak	7191	6.456719017434293	0.1907430227767987	nn_15min_winter
Weekday	23530	6.4562332049813005	0.2205427138614735	nn_15min_winter
Conventional Type	22207	6.436952114742199	0.22874898659260628	nn_15min_winter
Midday	6090	6.288385097118226	0.20088921699479406	nn_15min_winter
Winter	28498	6.185455994448733	0.22560895183193017	nn_15min_winter
NS route	21927	5.825259473379851	0.21314523006396432	nn_15min_winter
med frequency route	15379	5.63450187912413	0.23841962367397138	nn_15min_winter
Weekend Morning	271	5.536572748339483	0.5070101477454623	nn_15min_winter
Early Morning	676	5.4754704386094675	0.6841082273785735	nn_15min_winter
Trolley Type	6291	5.297683884552536	0.21448186906390249	nn_15min_winter
Non-RapidRide	25285	5.20376328576231	0.219726010792281	nn_15min_winter
Weekend Evening	4262	4.934114976168465	0.23204705523377117	nn_15min_winter
Weekend	4968	4.902970534740338	0.24963020862437504	nn_15min_winter
Seattle Region	13675	4.527914340487752	0.1856436685857014	nn_15min_winter
South King County Region	4318	4.467183669096804	0.22542368232286147	nn_15min_winter
Night	3618	4.437071088692648	0.2751547945759442	nn_15min_winter
Weekend Peak	435	4.203099708873563	0.26487716069567774	nn_15min_winter
low frequency route	4642	3.915147189153382	0.2113875042118682	nn_15min_winter
North King County Region	1335	3.3524938066666663	0.19107874153661905	nn_15min_winter
East King County Region	4018	3.0461807597984074	0.18194340922707905	nn_15min_winter
Summer	0			nn_15min_winter
Express Region	7369	15.830839389265842	0.32188960541339273	nn_15min_summer
RapidRide	4462	15.577594766360377	0.2846966019061136	nn_15min_summer
high frequency route	10784	10.495317171232381	0.2458877331050525	nn_15min_summer
Evening Peak	8386	9.610419702252566	0.22304045613469775	nn_15min_summer
EW route	9748	8.303957195701681	0.2628525563763412	nn_15min_summer
Morning Peak	10040	7.766695599931275	0.23684701496298177	nn_15min_summer
Weekday	32908	7.728784095974839	0.24559828068070008	nn_15min_summer
Conventional Type	32167	7.396393567529767	0.24985144551873775	nn_15min_summer
Summer	39948	7.373386202050165	0.2532601028259188	nn_15min_summer
Midday	8551	7.322626615609869	0.22691798962256668	nn_15min_summer
Trolley Type	7781	7.278272730082252	0.2673911298983944	nn_15min_summer
NS route	30200	7.07301514092053	0.25016150300586015	nn_15min_summer
med frequency route	21951	6.7432722470698385	0.25790591738703245	nn_15min_summer
Non-RapidRide	35486	6.341791245899792	0.24929116250157787	nn_15min_summer
Weekend Morning	395	6.187955307012658	0.5732033588400367	nn_15min_summer
Seattle Region	17545	6.004084548490739	0.22949797718491668	nn_15min_summer
Early Morning	923	5.820262618179848	0.4885059198683873	nn_15min_summer
Weekend Evening	6060	5.77872734159901	0.26256418777222973	nn_15min_summer
Weekend	7040	5.712102978573864	0.2890527718951935	nn_15min_summer
Night	5008	5.54719269115016	0.28929375614076686	nn_15min_summer
South King County Region	6986	5.0459109088963645	0.24471609421020418	nn_15min_summer
East King County Region	6165	4.815563377331712	0.25314167079123157	nn_15min_summer
Weekend Peak	585	4.700640910769231	0.37226508862066837	nn_15min_summer
low frequency route	7213	4.623452451060585	0.250181799242683	nn_15min_summer
North King County Region	1883	4.043670369585767	0.2378099874148153	nn_15min_summer
Winter	0			nn_15min_summer
Express Region	4970	26.297872172634847	0.5354411131196426	xgb_30min_summer
RapidRide	2873	24.03378538296192	0.3642736670424206	xgb_30min_summer
high frequency route	6783	16.946420296646583	0.3062945492455662	xgb_30min_summer
Evening Peak	6242	14.671839600761363	0.3420347348815735	xgb_30min_summer
EW route	7385	13.525757996339449	0.42988760788785063	xgb_30min_summer
Morning Peak	7620	12.855780871365013	0.37494678542765414	xgb_30min_summer
Trolley Type	5503	12.034024297118771	0.37224878125253685	xgb_30min_summer
Weekday	25444	11.919792604047469	0.38623256145891877	xgb_30min_summer
Summer	31495	11.157873221771512	0.38769545331931726	xgb_30min_summer
Conventional Type	25992	10.97237540060977	0.39096442932603664	xgb_30min_summer
Midday	6587	10.79898562651403	0.3110290739597556	xgb_30min_summer
NS route	24110	10.432579606666401	0.37476041421834244	xgb_30min_summer
med frequency route	18036	10.364520373409063	0.39663423923822744	xgb_30min_summer
Non-RapidRide	28622	9.865423510392151	0.3900541452552312	xgb_30min_summer
Seattle Region	13014	9.680171850945646	0.3303349301650668	xgb_30min_summer
Early Morning	807	9.170475653002253	1.0376115535122024	xgb_30min_summer
Night	4188	8.407602152772027	0.46724230966857466	xgb_30min_summer
Weekend Evening	5186	7.979612782821663	0.35093178856019974	xgb_30min_summer
Weekend	6051	7.9540595112064025	0.3938454215881566	xgb_30min_summer
Weekend Peak	518	7.943240623216371	0.6520166095284405	xgb_30min_summer
Weekend Morning	347	7.58830999357556	0.6524170350294947	xgb_30min_summer
low frequency route	6676	7.419885978540166	0.4465664665214298	xgb_30min_summer
East King County Region	5388	7.132128207963001	0.4067660955529323	xgb_30min_summer
South King County Region	6347	7.074600046556617	0.3697293849194561	xgb_30min_summer
North King County Region	1776	6.423785289128621	0.4010943277778354	xgb_30min_summer
Winter	0			xgb_30min_summer
Express Region	3657	23.144177304058736	0.5348926353807406	xgb_30min_winter
RapidRide	2083	19.644225583589254	0.31259718226441047	xgb_30min_winter
high frequency route	5215	12.88766509079636	0.22954163383528267	xgb_30min_winter
EW route	5107	11.546660094793841	0.38546173942256834	xgb_30min_winter
Evening Peak	4399	10.715143478575227	0.2377904374894079	xgb_30min_winter
Morning Peak	5381	9.802625481678282	0.26336366673577394	xgb_30min_winter
Weekday	18025	9.157322095394465	0.2904431032275449	xgb_30min_winter
Midday	4645	8.991313198539233	0.25787799346756207	xgb_30min_winter
Conventional Type	18209	8.75054530188334	0.3093785669199014	xgb_30min_winter
Winter	22386	8.595993480943413	0.29674018604352337	xgb_30min_winter
Trolley Type	4177	7.9222481834822815	0.24148996694206046	xgb_30min_winter
med frequency route	12991	7.8621614108679525	0.3082673326830043	xgb_30min_winter
NS route	17279	7.723891252982643	0.27045231837565825	xgb_30min_winter
Early Morning	586	7.713766920281759	0.9227113670282375	xgb_30min_winter
Non-RapidRide	20303	7.462492645115639	0.29510316750121746	xgb_30min_winter
Seattle Region	9744	6.59103176058293	0.23261732381824168	xgb_30min_winter
Weekend Peak	384	6.557444908500959	0.40132127218995217	xgb_30min_winter
Weekend	4361	6.275895275146528	0.3228081606008266	xgb_30min_winter
Night	3014	6.268072218919085	0.34748585306964935	xgb_30min_winter
Weekend Evening	3701	6.256412695007239	0.29817527285376	xgb_30min_winter
Weekend Morning	276	6.145424151550168	0.5477545731702645	xgb_30min_winter
South King County Region	4008	5.742495397674645	0.2861513707158116	xgb_30min_winter
low frequency route	4180	5.522343953902071	0.3452500701902987	xgb_30min_winter
North King County Region	1365	4.405151455218975	0.25883612925195265	xgb_30min_winter
East King County Region	3612	4.025383969568797	0.25350420662004236	xgb_30min_winter
Summer	0			xgb_30min_winter
Express Region	8651	25.016728149395625	0.5470014169286697	xgb_30min_combined
RapidRide	4940	22.07730082931668	0.33764856371410323	xgb_30min_combined
high frequency route	11712	15.270829856731607	0.2796634941802338	xgb_30min_combined
Evening Peak	10592	13.541040871146043	0.2920239421238695	xgb_30min_combined
EW route	12369	12.884454699411322	0.42752628858552816	xgb_30min_combined
Morning Peak	12761	11.359858225212792	0.32271436954727684	xgb_30min_combined
Summer	30760	11.06986203958875	0.39616505547780206	xgb_30min_combined
Weekday	42862	10.791580341012017	0.3560533723677445	xgb_30min_combined
Trolley Type	9372	10.353444825185322	0.35136693484926995	xgb_30min_combined
Conventional Type	43699	10.09251297851684	0.36122007563352504	xgb_30min_combined
Midday	11018	9.842012389112154	0.30474206155656836	xgb_30min_combined
med frequency route	30649	9.420299480195077	0.3751719387583134	xgb_30min_combined
NS route	40702	9.3041469552559	0.3387495702413122	xgb_30min_combined
Non-RapidRide	48131	8.913243927053664	0.3617337346379507	xgb_30min_combined
Winter	22311	8.854657039670759	0.3088187416175935	xgb_30min_combined
Early Morning	1398	8.427166761417416	1.1368853244314474	xgb_30min_combined
Seattle Region	22191	8.40247249603943	0.30773480080121357	xgb_30min_combined
Weekend Peak	903	7.6494632522397135	0.5375403202832508	xgb_30min_combined
Night	7093	7.60445357699682	0.44054077986584017	xgb_30min_combined
Weekend Morning	602	7.594941154963946	0.6603068855178914	xgb_30min_combined
Weekend	10209	7.39705093284232	0.3739132587871407	xgb_30min_combined
Weekend Evening	8704	7.357177513939164	0.33743987296715744	xgb_30min_combined
low frequency route	10710	6.581745238030324	0.4022065709900071	xgb_30min_combined
South King County Region	10265	6.439057878520624	0.32252500132532674	xgb_30min_combined
East King County Region	8909	5.876805536573564	0.3591075744616977	xgb_30min_combined
North King County Region	3055	5.47719722470168	0.3277489771760359	xgb_30min_combined
Express Region	7369	18.134105236628336	0.4620685276838207	xgb_15min_summer
RapidRide	4462	17.15480180964348	0.36234513070038876	xgb_15min_summer
high frequency route	10784	11.873189943187624	0.3336305421428751	xgb_15min_summer
Evening Peak	8386	11.027817752106559	0.3138793092240635	xgb_15min_summer
EW route	9748	10.012007901997634	0.38207737026628535	xgb_15min_summer
Morning Peak	10040	9.362403087427772	0.3491276439558346	xgb_15min_summer
Weekday	32908	9.184876591803071	0.37136110758774205	xgb_15min_summer
Conventional Type	32167	8.732963248981251	0.3613247995525251	xgb_15min_summer
Summer	39948	8.71531792040987	0.3710337248649452	xgb_15min_summer
Trolley Type	7781	8.642371347455803	0.4112833228944736	xgb_15min_summer
Midday	8551	8.44307970066626	0.29959762155907943	xgb_15min_summer
Early Morning	923	8.402141637817623	1.0937465064795688	xgb_15min_summer
NS route	30200	8.29677043893578	0.3674663541736503	xgb_15min_summer
med frequency route	21951	7.9647445521505755	0.3713904458443365	xgb_15min_summer
Non-RapidRide	35486	7.654139508817683	0.37213068262902604	xgb_15min_summer
Weekend Morning	395	7.331339141990565	0.8113373216087092	xgb_15min_summer
Seattle Region	17545	7.193910062318175	0.34478247513654564	xgb_15min_summer
Night	5008	7.153786134986451	0.5053433196879413	xgb_15min_summer
Weekend	7040	6.520397926346314	0.3695043365244211	xgb_15min_summer
Weekend Evening	6060	6.474551393494944	0.31879364415980793	xgb_15min_summer
Weekend Peak	585	6.44776238600413	0.5979086901156487	xgb_15min_summer
low frequency route	7213	6.2782382189021035	0.42616094552204026	xgb_15min_summer
