group	n	mae	mape	batch
Express Region	12390	14.5083667889057	0.3365805634596693	final_nn_15min
RapidRide	7700	14.446217926508421	0.27314192562082207	final_nn_15min
high frequency route	19210	9.320638162800572	0.22201789396752908	final_nn_15min
Evening Peak	13982	8.580115476402836	0.21301053273686532	final_nn_15min
EW route	16002	7.372861857921418	0.26651619760326933	final_nn_15min
Summer	39342	7.146067801031388	0.25852712284842094	final_nn_15min
Weekday	55745	6.879200068785264	0.23412208252564248	final_nn_15min
Morning Peak	16972	6.73526429351759	0.2198421467524198	final_nn_15min
Conventional Type	53794	6.696890640760499	0.23942668254948407	final_nn_15min
Midday	14541	6.682858403353242	0.21117768335480847	final_nn_15min
NS route	51697	6.339424382829296	0.23080461050346804	final_nn_15min
Trolley Type	13905	6.145790912658351	0.23861066227860142	final_nn_15min
med frequency route	36805	5.881463339587557	0.24853401965203345	final_nn_15min
Winter	28357	5.803475626526352	0.21248613695347565	final_nn_15min
Weekend Morning	630	5.714394749535455	0.48696340119961523	final_nn_15min
Non-RapidRide	59999	5.574657573217384	0.2348918807105934	final_nn_15min
Early Morning	1600	5.555884867012501	0.5371182581347462	final_nn_15min
Weekend Evening	10292	5.281021322992772	0.24590736164455826	final_nn_15min
Seattle Region	30766	5.239377148492527	0.20796169287535965	final_nn_15min
Weekend	11954	5.205684284352531	0.26323029316084606	final_nn_15min
Night	8650	4.987059863978039	0.2802527235022012	final_nn_15min
South King County Region	11355	4.78262349489448	0.23519744915712762	final_nn_15min
low frequency route	11684	4.295878162330163	0.23848816425502187	final_nn_15min
Weekend Peak	1032	4.143807932850002	0.3029196431714651	final_nn_15min
East King County Region	9889	3.884630883423524	0.22479019120663218	final_nn_15min
North King County Region	3299	3.6479573549014503	0.2218888134248908	final_nn_15min
RapidRide	5000	18.959872022628783	0.2747821010022036	final_nn_30min
Express Region	8562	18.51271295764685	0.32643646513637026	final_nn_30min
high frequency route	11926	12.67476789395161	0.21008034593564798	final_nn_30min
Evening Peak	10436	10.100984987375517	0.1995630499012412	final_nn_30min
EW route	12479	9.054125791635734	0.2533158590037303	final_nn_30min
Summer	31148	8.498067075930344	0.25138482029078013	final_nn_30min
Morning Peak	12849	8.44630460455609	0.20645242261732102	final_nn_30min
Weekday	42883	8.238424621277623	0.22513280215074924	final_nn_30min
Trolley Type	9339	8.220340345308962	0.21811963664382675	final_nn_30min
Midday	10990	8.194809307934914	0.20880682475525006	final_nn_30min
Conventional Type	43830	7.677595065365146	0.23758115315823194	final_nn_30min
NS route	40690	7.380002812631419	0.22828620279541847	final_nn_30min
med frequency route	30595	6.973061609914985	0.24392429870854077	final_nn_30min
Winter	22021	6.747239313324392	0.2097871361450616	final_nn_30min
Seattle Region	22403	6.666940879562106	0.20445171526363476	final_nn_30min
Non-RapidRide	48169	6.611708569549935	0.2299332472407135	final_nn_30min
Weekend Evening	8774	5.980872017608462	0.25299983377463825	final_nn_30min
Early Morning	1429	5.848937479410245	0.4864278775690534	final_nn_30min
Weekend	10286	5.8322367456296345	0.271890865006702	final_nn_30min
Night	7179	5.70118817241598	0.2698873792128849	final_nn_30min
Weekend Morning	597	5.545091782382984	0.4956981509581812	final_nn_30min
South King County Region	10173	5.158573528289045	0.22622146267252205	final_nn_30min
Weekend Peak	915	4.594312884117085	0.310132428240429	final_nn_30min
low frequency route	10648	4.581015058337612	0.2332035872877217	final_nn_30min
East King County Region	8954	4.481218299190461	0.23351824961563766	final_nn_30min
