rte	ntrips	trips_per_15	trip_freq
48	4975	1.1389652014652014	high
45	4893	1.1201923076923077	high
674	4831	1.1059981684981686	high
675	4782	1.0947802197802199	high
673	4753	1.0881410256410255	high
62	4707	1.07760989010989	high
8	4539	1.0391483516483517	high
671	4528	1.0366300366300367	high
36	4480	1.0256410256410255	high
7	4407	1.0089285714285714	high
70	4322	0.9894688644688645	high
676	4309	0.986492673992674	high
44	4298	0.9839743589743589	high
49	4179	0.9567307692307693	high
10	4052	0.9276556776556777	high
124	3589	0.8216575091575091	med
545	3577	0.8189102564102564	med
12	3568	0.8168498168498168	med
5	3462	0.7925824175824175	med
3	3451	0.7900641025641025	med
2	3431	0.785485347985348	med
245	3280	0.7509157509157509	med
550	3240	0.7417582417582418	med
271	3212	0.7353479853479854	med
1	3129	0.7163461538461539	med
40	3038	0.6955128205128205	med
21	3037	0.6952838827838828	med
14	3030	0.6936813186813187	med
28	3027	0.6929945054945055	med
107	3022	0.6918498168498168	med
50	2882	0.6597985347985348	med
11	2846	0.6515567765567766	med
240	2837	0.649496336996337	med
26	2767	0.6334706959706959	med
131	2725	0.6238553113553114	med
672	2700	0.6181318681318682	med
132	2679	0.6133241758241759	med
522	2557	0.5853937728937729	med
13	2539	0.5812728937728938	med
248	2358	0.5398351648351648	med
24	2357	0.5396062271062271	med
226	2225	0.5093864468864469	med
345	2191	0.5016025641025641	med
235	2131	0.48786630036630035	med
41	2130	0.4876373626373626	med
241	2110	0.48305860805860806	med
33	2110	0.48305860805860806	med
4	2109	0.48282967032967034	med
554	2080	0.47619047619047616	med
221	2068	0.4734432234432234	med
348	2046	0.4684065934065934	med
47	1994	0.4565018315018315	med
27	1877	0.42971611721611724	med
148	1815	0.41552197802197804	med
234	1788	0.40934065934065933	med
372	1787	0.4091117216117216	med
331	1676	0.3836996336996337	med
65	1652	0.3782051282051282	med
67	1629	0.37293956043956045	med
542	1621	0.3711080586080586	med
75	1478	0.3383699633699634	med
169	1315	0.30105311355311354	med
255	1233	0.2822802197802198	med
269	1216	0.2783882783882784	med
118	1179	0.2699175824175824	med
150	1154	0.2641941391941392	med
105	1153	0.26396520146520147	med
180	1093	0.25022893772893773	med
120	982	0.22481684981684982	low
32	979	0.22413003663003664	low
106	977	0.22367216117216118	low
101	931	0.21314102564102563	low
212	929	0.21268315018315018	low
43	923	0.2113095238095238	low
181	916	0.2097069597069597	low
541	888	0.2032967032967033	low
236	858	0.19642857142857142	low
249	838	0.19184981684981686	low
156	837	0.19162087912087913	low
166	822	0.18818681318681318	low
238	808	0.184981684981685	low
346	748	0.17124542124542125	low
60	722	0.1652930402930403	low
347	684	0.1565934065934066	low
76	676	0.15476190476190477	low
540	671	0.15361721611721613	low
183	653	0.149496336996337	low
128	648	0.14835164835164835	low
168	609	0.13942307692307693	low
164	609	0.13942307692307693	low
31	577	0.1320970695970696	low
204	573	0.1311813186813187	low
187	558	0.12774725274725274	low
153	538	0.12316849816849818	low
73	532	0.12179487179487179	low
29	529	0.12110805860805861	low
121	500	0.11446886446886446	low
125	499	0.11423992673992674	low
182	486	0.11126373626373626	low
373	486	0.11126373626373626	low
218	479	0.10966117216117216	low
200	471	0.10782967032967034	low
303	445	0.10187728937728938	low
311	443	0.10141941391941392	low
119	423	0.09684065934065934	low
111	407	0.09317765567765568	low
556	388	0.08882783882783883	low
177	385	0.08814102564102565	low
197	364	0.08333333333333333	low
64	361	0.08264652014652014	low
555	357	0.08173076923076923	low
246	348	0.07967032967032966	low
216	348	0.07967032967032966	low
178	348	0.07967032967032966	low
143	342	0.0782967032967033	low
232	342	0.0782967032967033	low
224	341	0.07806776556776557	low
71	334	0.07646520146520147	low
179	333	0.07623626373626374	low
74	329	0.07532051282051282	low
312	323	0.07394688644688645	low
301	319	0.07303113553113554	low
193	301	0.06891025641025642	low
219	296	0.06776556776556776	low
22	296	0.06776556776556776	low
208	246	0.05631868131868132	low
252	238	0.05448717948717949	low
190	227	0.05196886446886447	low
78	225	0.05151098901098901	low
257	222	0.050824175824175824	low
116	218	0.04990842490842491	low
9	216	0.04945054945054945	low
63	197	0.0451007326007326	low
217	186	0.042582417582417584	low
277	184	0.04212454212454213	low
158	184	0.04212454212454213	low
268	182	0.041666666666666664	low
19	178	0.04075091575091575	low
122	175	0.04006410256410257	low
330	172	0.039377289377289376	low
186	158	0.036172161172161175	low
355	155	0.035485347985347984	low
77	153	0.03502747252747253	low
123	146	0.033424908424908424	low
102	143	0.03273809523809524	low
55	140	0.03205128205128205	low
159	134	0.030677655677655676	low
15	133	0.030448717948717948	low
244	129	0.029532967032967032	low
243	120	0.027472527472527472	low
342	120	0.027472527472527472	low
316	120	0.027472527472527472	low
56	118	0.027014652014652016	low
192	116	0.026556776556776556	low
157	112	0.02564102564102564	low
17	112	0.02564102564102564	low
214	111	0.025412087912087912	low
37	108	0.024725274725274724	low
18	103	0.02358058608058608	low
154	94	0.02152014652014652	low
167	92	0.021062271062271064	low
114	87	0.019917582417582416	low
304	81	0.018543956043956044	low
237	80	0.018315018315018316	low
113	76	0.0173992673992674	low
57	66	0.01510989010989011	low
308	53	0.012133699633699634	low
309	51	0.011675824175824176	low
201	39	0.008928571428571428	low
