"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72793524234","2019-01-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.46","31","33","0.00",,"-0.01","1","92","30.46","CLR:00","30.43","8.00","32","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/19 00:53:02 METAR KBFI 010853Z 00000KT 8SM CLR 01/M01 A3046 RMK AO2 SLP314 T00061006 51003","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.47","31","34","0.00",,,,"89","30.47","BKN:07 90","30.44","8.00","33","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09301/01/19 01:53:02 METAR KBFI 010953Z 00000KT 8SM BKN090 01/M01 A3047 RMK AO2 SLP318 T00111006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.47","32","34","0.00",,,,"92","30.47","OVC:08 80","30.44","8.00","33","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09201/01/19 02:53:02 METAR KBFI 011053Z 00000KT 8SM OVC080 01/00 A3047 RMK AO2 SLP318 T00110000","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.47","32","34","0.00",,"-0.00","0","92","30.46","OVC:08 85","30.44","7.00","33","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11001/01/19 03:53:02 METAR KBFI 011153Z 00000KT 7SM OVC085 01/00 A3047 RMK AO2 SLP316 T00110000 10022 20000 50001","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.46","31","34","0.00",,,,"89","30.45","OVC:08 75","30.43","9.00","33","140",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09301/01/19 04:53:02 METAR KBFI 011253Z 14003KT 9SM OVC075 01/M01 A3046 RMK AO2 SLP313 T00111006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.43","31","34","0.00",,,,"89","30.43","BKN:07 85","30.40","9.00","33","140",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09301/01/19 05:53:02 METAR KBFI 011353Z 14005KT 9SM BKN085 01/M01 A3043 RMK AO2 SLP304 T00111006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.45","31","34","0.00",,"+0.02","5","89","30.45","OVC:08 80","30.42","9.00","33","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09901/01/19 06:53:02 METAR KBFI 011453Z 00000KT 9SM OVC080 01/M01 A3045 RMK AO2 SLP310 T00111006 55006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.45","30","33","0.00",,,,"89","30.45","BKN:07 80","30.42","8.00","32","140",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09301/01/19 07:53:02 METAR KBFI 011553Z 14004KT 8SM BKN080 01/M01 A3045 RMK AO2 SLP310 T00061011","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.47","32","34","0.00",,,,"92","30.47","OVC:08 80","30.44","7.00","33","160",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09201/01/19 08:53:02 METAR KBFI 011653Z 16004KT 7SM OVC080 01/00 A3047 RMK AO2 SLP317 T00110000","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2019-01-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.47","32","37","0.00",,"-0.02","3","82","30.47","OVC:08 75","30.44","9.00","35","170",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11001/01/19 09:53:02 METAR KBFI 011753Z 17003KT 9SM OVC075 03/00 A3047 RMK AO2 SLP318 T00280000 10028 20000 53007","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
